번호,교육명,clean_sentence,okt,mecab
31622628,"[주거]초록쉼표, 식물과 함께하는 일상", 주거 초록쉼표  식물과 함께하는 일상,"['주거', '초록', '쉼표', '식물', '일상']","['주거', '초록', '쉼표', '식물', '일상']"
32138091,[맞춤형일자리]서류평가관 활동 설명회, 맞춤형일자리 서류평가관 활동 설명회,"['맞춤', '일자리', '서류', '평가', '관', '활동', '설명', '회']","['맞춤', '일자리', '서류', '평가', '관', '활동', '설', '명회']"
31623735,[건강]몸신의 허리통증 없애는 비결, 건강 몸신의 허리통증 없애는 비결,"['건강', '몸', '신의', '허리', '통증', '비결']","['건강', '몸신', '허리', '통증', '비결']"
31623329,[건강]국민연금공단 연계 '두근두근 뇌운동(치매의 이해와 예방)', 건강 국민연금공단 연계  두근두근 뇌운동 치매의 이해와 예방  ,"['건강', '국민연금', '공단', '계', '뇌', '운동', '치매', '이해', '예방']","['건강', '국민', '연금', '공단', '연계', '뇌', '운동', '치매', '이해', '예방']"
32130888,[일자리센터 연계]50+일자리 상담(6월), 일자리센터 연계   일자리 상담   ,"['일자리', '센터', '계', '일자리', '상담']","['일자리', '센터', '연계', '일자리', '상담']"
32172267,[국민연금공단 연계] 50+재무설계 상담(6월), 국민연금공단 연계    재무설계 상담   ,"['국민연금', '공단', '계', '재무', '설계', '상담']","['국민', '연금', '공단', '연계', '재무', '설계', '상담']"
31622843,[재무]시니어금융교육협의회 연계 '스마트폰 활용 디지털 금융교육', 재무 시니어금융교육협의회 연계  스마트폰 활용 디지털 금융교육 ,"['재무', '시니어', '금융', '교육', '협의', '회', '계', '스마트폰', '활용', '디지털', '금융', '교육']","['재무', '시니어', '금융', '교육', '협의회', '연계', '스마트폰', '활용', '디지털', '금융', '교육']"
32130034,[커리어개발]유튜브 편집_파워디렉터 마스터, 커리어개발 유튜브 편집 파워디렉터 마스터,"['커리어', '개발', '유튜브', '편집', '파워', '디렉터', '마스터']","['커리어', '개발', '유튜브', '편집', '파워', '디렉터', '마스터']"
31470282,도전배우교실-프로필제작,도전배우교실 프로필제작,"['도전', '배우', '교실', '프로필', '제작']","['도전', '배우', '교실', '프로필', '제작']"
31473067,희망선 걷기와 힐링 금요일,희망선 걷기와 힐링  ,"['희망', '선', '걷기', '힐링']","['희망', '선', '힐링']"
31171397,수익형 블로그-팬슈머 활동하기(3단계),수익형 블로그 팬슈머 활동하기   ,"['수익', '블로그', '팬슈머', '활동']","['수익', '블로그', '팬', '활동']"
31169119,목공체험지도사 도전하기,목공체험지도사 도전하기,"['목공', '체험', '지도사', '도전']","['목공', '체험', '지도', '사', '도전']"
32130111,[일자리센터 연계]50+일자리 상담(5월), 일자리센터 연계   일자리 상담   ,"['일자리', '센터', '계', '일자리', '상담']","['일자리', '센터', '연계', '일자리', '상담']"
32125462,[활동가양성]우리집 신박한 정리단 양성, 활동가양성 우리집 신박한 정리단 양성,"['활동가', '양성', '우리', '집', '박', '정리', '단', '양성']","['활동가', '양성', '우리', '집', '신박', '정리', '양성']"
31958702,[활동가 양성] 50+ 디지털 드로잉 & 굿즈상품 디자인, 활동가 양성     디지털 드로잉   굿즈상품 디자인,"['활동가', '양성', '디지털', '드로잉', '굿', '상품', '디자인']","['활동가', '양성', '디지털', '드로잉', '굿', '상품', '디자인']"
32133926,[창업아카데미]온라인 쇼핑몰 시작하기 2기, 창업아카데미 온라인 쇼핑몰 시작하기  ,"['창업', '아카데미', '온라인', '쇼핑몰', '시작']","['창업', '아카데미', '온라인', '쇼핑몰', '시작']"
32121340,[활동가양성]50+ 제페토 크리에이터 양성, 활동가양성    제페토 크리에이터 양성,"['활동가', '양성', '제페토', '크리에이터', '양성']","['활동가', '양성', '제페토', '크리에이터', '양성']"
32107367,[커리어개발]50+ 드론 비행과 코딩, 커리어개발    드론 비행과 코딩,"['커리어', '개발', '드론', '비행', '코딩']","['커리어', '개발', '드론', '비행', '코딩']"
31613294,[관계]인스타릴스 나를 마케팅하다, 관계 인스타릴스 나를 마케팅하다,"['관계', '인스타', '릴스', '마케팅']","['관계', '스타', '릴', '나', '마케팅']"
31613297,[주거]50+공동체주택 알아보기, 주거   공동체주택 알아보기,"['주거', '공동체', '주택']","['주거', '공동체', '주택']"
32132777,[커리어개발]스마트한 기초 PC 활용, 커리어개발 스마트한 기초 PC 활용,"['커리어', '개발', '스마트', '기초', '활용']","['커리어', '개발', '스마트', '기초', '활용']"
32170124,[국민연금공단 연계] 50+재무설계 상담(5월), 국민연금공단 연계    재무설계 상담   ,"['국민연금', '공단', '계', '재무', '설계', '상담']","['국민', '연금', '공단', '연계', '재무', '설계', '상담']"
31623148,[재무]국민연금공단 연계 '국민연금제도의 이해', 재무 국민연금공단 연계  국민연금제도의 이해 ,"['재무', '국민연금', '공단', '계', '국민연금', '제도', '이해']","['재무', '국민', '연금', '공단', '연계', '국민', '연금', '제도', '이해']"
31623444,[건강]국민연금공단 연계 '삶이 즐거워지는 근골격계 관리법', 건강 국민연금공단 연계  삶이 즐거워지는 근골격계 관리법 ,"['건강', '국민연금', '공단', '계', '삶', '골격계', '관리', '법']","['건강', '국민', '연금', '공단', '연계', '삶', '근', '골격계', '관리법']"
31959001,[맞춤형 일자리]50+ 병원동행 매니져 양성 2기, 맞춤형 일자리    병원동행 매니져 양성  ,"['맞춤', '일자리', '병원', '동행', '양성']","['맞춤', '일자리', '병원', '동행', '양성']"
31623844,[건강]전신운동 댄스스포츠(야간/2기), 건강 전신운동 댄스스포츠 야간   ,"['건강', '전신', '운동', '댄스', '스포츠', '야간']","['건강', '전신', '운동', '댄스스포츠', '야간']"
31624196,[건강]삶의 활력찾기! 라인댄스 시작하기(목요반/2기), 건강 삶의 활력찾기  라인댄스 시작하기 목요반   ,"['건강', '삶', '활', '찾기', '라인', '댄스', '시작', '목', '반']","['건강', '삶', '활력', '라인', '댄스', '시작', '목요', '반']"
32120796,[커리어개발]유튜브 크리에이터 양성_입문2기, 커리어개발 유튜브 크리에이터 양성 입문 ,"['커리어', '개발', '유튜브', '크리에이터', '양성', '입문']","['커리어', '개발', '유튜브', '크리에이터', '양성', '입문']"
31624478,[건강]삶의 활력찾기! 라인댄스 시작하기(화요반/2기), 건강 삶의 활력찾기  라인댄스 시작하기 화요반   ,"['건강', '삶', '활', '찾기', '라인', '댄스', '시작', '화요', '반']","['건강', '삶', '활력', '라인', '댄스', '시작', '화요', '반']"
31628433,[건강]강동구정신건강복지센터 연계 '정신과 전문의 한창우와 함께하는 중독의 이해와 극복', 건강 강동구정신건강복지센터 연계  정신과 전문의 한창우와 함께하는 중독의 이해와 극복 ,"['건강', '강동구', '정신건강', '복지', '센터', '계', '정신과', '전문의', '한창우', '중독', '이해', '극복']","['건강', '강동구', '정신', '건강', '복지', '센터', '연계', '정신', '전문', '중독', '이해', '극복']"
31624649,[건강]중년의 발레교실 '실버스완'(2기), 건강 중년의 발레교실  실버스완    ,"['건강', '중년', '발레', '교실', '실버', '스완']","['건강', '중년', '발레', '교실', '실버스', '완']"
31624746,[건강]몸과 마음 건강챙기기 '50+필라테스'(2기), 건강 몸과 마음 건강챙기기    필라테스    ,"['건강', '몸', '마음', '건강', '필라테스']","['건강', '몸', '마음', '건강', '필라테스']"
31628397,[소양]국민연금공단 연계 강동50더하기학교 '재취업VS창업', 소양 국민연금공단 연계 강동 더하기학교  재취업VS창업 ,"['소양', '국민연금', '공단', '계', '강동', '더하기', '학교', '재', '취업', '창업']","['소양', '국민연금', '공단', '연계', '학교', '재취업', '창업']"
